Date,"Bayer
Close Price","BMW
Close Price","Siemens
Close Price"
2013/10/2,86.48,79.3,91.51
2013/10/1,87.73,80.91,91.9
2013/9/30,87.16,79.47,89.06
2013/9/27,87.49,80.1,89.83
2013/9/26,86.87,79.72,90.2
2013/9/25,86.54,80.37,90.18
2013/9/24,86.47,80.8,89.66
2013/9/23,86.24,80.31,89.72
2013/9/20,87.68,80.47,90.17
2013/9/19,86.61,81.44,90.33
2013/9/18,85.22,80.05,89.7
2013/9/17,84.83,80.18,88.58
2013/9/16,85.17,80.58,87.99
2013/9/13,83.68,79.9,86.94
2013/9/12,83.44,79.55,87.3
2013/9/11,84.32,80,88.05
2013/9/10,83.5,79.14,88.02
2013/9/9,82.01,78.17,86.75
2013/9/6,83.46,77.7,87.15
2013/9/5,84.19,76.97,84.6
2013/9/4,84.92,72.59,82.2
2013/9/3,84.82,72.23,81.32
2013/9/2,85.64,72.76,81.74
2013/8/30,84.04,71.29,80.09
2013/8/29,85.48,72.41,81.46
2013/8/28,85.04,71.75,81.25
2013/8/27,86.36,73,81.6
2013/8/26,88.51,75.42,82.93
2013/8/23,88.15,75.4,82.71
2013/8/22,88.41,75.18,82.79
2013/8/21,87.18,73.7,81.73
2013/8/20,87.51,74.05,82.14
2013/8/19,87.25,75.03,82.81
2013/8/16,86.62,75.53,83.57
2013/8/15,86.66,74.36,83.5
2013/8/14,87,74.4,84.38
2013/8/13,86.65,73.97,83.56
2013/8/12,86.82,73.16,83.66
2013/8/9,86.96,72.3,83.54
2013/8/8,87.2,71.68,83.15
2013/8/7,87.26,70.64,83.43
2013/8/6,88.65,71.37,83.48
2013/8/5,89.6,72.18,83.99
2013/8/2,89.63,72.48,83.75
2013/8/1,89.43,73.01,84.45
2013/7/31,87.35,73.59,82.31
2013/7/30,84.35,74.45,80.67
2013/7/29,83.99,73.97,79.46
2013/7/26,83.75,74.16,79.68
2013/7/25,84.22,74.04,78.62
2013/7/24,84.27,73.86,83.62
2013/7/23,84.48,72.4,83.44
2013/7/22,84.88,72.13,83.7
2013/7/19,84.98,72.23,83.44
2013/7/18,85.5,72.02,82.5
2013/7/17,84.15,71.27,81.02
2013/7/16,83.7,71.1,80.01
2013/7/15,84.67,70.86,79.86
2013/7/12,84.61,70.52,79.55
2013/7/11,83.84,70.15,79.33
2013/7/10,83.32,69,78.94
2013/7/9,83.47,69.03,78.82
2013/7/8,82.42,67.9,78.15
2013/7/5,80.06,66.2,75.0998
2013/7/4,82.57,67.7,76.3983
2013/7/3,80.89,66.12,75.72
2013/7/2,81.71,66.43,76.7375
2013/7/1,82.37,67.28,77.1638
2013/6/28,81.93,67.18,75.2452
2013/6/27,82.19,67.29,75.1676
2013/6/26,81.62,66.77,74.6541
2013/6/25,79.03,65.92,74.0533
2013/6/24,78.12,64.04,73.6463
2013/6/21,79.61,64.36,74.8672
2013/6/20,80.58,66.43,75.9913
2013/6/19,84.19,69.8,77.2026
2013/6/18,83.82,69.87,77.5127
2013/6/17,83.49,70.55,77.4836
2013/6/14,81.77,70.03,76.8344
2013/6/13,81.98,69.16,76.6793
2013/6/12,82.92,70.16,77.8228
2013/6/11,82.86,71.41,78.472
2013/6/10,84.07,72.49,78.5786
2013/6/7,83.27,72.2,77.8422
2013/6/6,80.58,71.05,77.0573
2013/6/5,81.14,72.38,78.1813
2013/6/4,82,73.3,78.6271
2013/6/3,81.32,73.11,78.9081
2013/5/31,82.89,73.69,79.0825
2013/5/30,83.67,73.15,80.1872
2013/5/29,83.88,72.42,80.1097
2013/5/28,86.6,72.31,80.788
2013/5/27,84.74,71.88,80.2841
2013/5/24,84.46,70.88,79.8965
2013/5/23,83.91,71.48,78.7724
2013/5/22,85.5,73.35,79.7415
2013/5/21,84.65,73.83,78.7143
2013/5/20,84.12,74.02,78.5883
